t,i,j,k,v,q
2023,410,36,852352,1223.702,0.748
2023,410,40,852352,60.473,0.149
2023,410,48,852352,2.111,0.013
2023,410,56,852352,0.702,0.006
2023,410,68,852352,0.205,
2023,410,70,852352,0.456,
2023,410,76,852352,60.991,0.099
2023,410,96,852352,0.005,
2023,410,104,852352,0.051,
2023,410,116,852352,0.13,
2023,410,124,852352,53.562,0.327
2023,410,144,852352,0.234,0.001
2023,410,152,852352,931.953,5.689
2023,410,156,852352,2907.707,7.697
2023,410,170,852352,2222.93,13.47
2023,410,188,852352,131.857,0.234
2023,410,191,852352,0.588,0.002
2023,410,196,852352,4.555,0.015
2023,410,203,852352,440.193,0.142
2023,410,208,852352,6.701,0.06
2023,410,214,852352,0.645,
2023,410,218,852352,5.596,
2023,410,222,852352,20.096,0.27
2023,410,231,852352,3.089,0.151
2023,410,233,852352,1.496,0.002
2023,410,246,852352,54.325,0.716
2023,410,251,852352,2092.817,1.622
2023,410,266,852352,26.421,0.43
2023,410,276,852352,772.28,3.719
2023,410,300,852352,3.149,0.008
2023,410,320,852352,47.434,3.012
2023,410,344,852352,7975.371,48.681
2023,410,348,852352,171.992,0.181
2023,410,352,852352,1.489,0.015
2023,410,360,852352,2356.084,11.607
2023,410,372,852352,22.445,0.139
2023,410,376,852352,370.0,2.258
2023,410,380,852352,1564.1,1.967
2023,410,384,852352,0.048,0.001
2023,410,388,852352,0.045,0.055
2023,410,392,852352,4085.4,17.436
2023,410,398,852352,1463.379,1.025
2023,410,400,852352,40.906,0.25
2023,410,417,852352,0.171,0.002
2023,410,428,852352,0.076,0.001
2023,410,440,852352,5.926,0.021
2023,410,458,852352,363.991,2.222
2023,410,470,852352,5.224,0.047
2023,410,480,852352,62.447,0.224
2023,410,490,852352,424.379,0.983
2023,410,498,852352,0.164,0.001
2023,410,504,852352,1.303,0.001
2023,410,528,852352,96.723,1.808
2023,410,554,852352,8.515,0.015
2023,410,558,852352,41.449,0.91
2023,410,579,852352,19.897,0.011
2023,410,586,852352,10.924,0.067
2023,410,591,852352,0.21,0.001
2023,410,604,852352,0.468,0.002
2023,410,620,852352,37.981,0.262
2023,410,642,852352,10.664,0.032
2023,410,682,852352,372.941,2.202
2023,410,688,852352,0.181,0.002
2023,410,699,852352,1247.577,7.615
2023,410,702,852352,6353.907,38.784
2023,410,703,852352,74.735,0.026
2023,410,705,852352,3.121,0.014
2023,410,710,852352,3.896,0.024
2023,410,724,852352,328.277,0.328
2023,410,752,852352,121.11,0.889
2023,410,757,852352,50.198,0.045
2023,410,764,852352,198.876,0.4
2023,410,784,852352,1485.612,9.068
2023,410,788,852352,3.264,0.015
2023,410,792,852352,3365.408,2.249
2023,410,804,852352,132.944,0.05
2023,410,818,852352,84.549,0.516
2023,410,826,852352,1586.767,2.489
2023,410,834,852352,0.325,0.002
2023,410,842,852352,43256.355,264.035
2023,410,858,852352,28.283,0.011
